State	VEE/eV	Osc. (f)
S1	2.1618	0.0129
S2	2.1742	0.0125
S3	2.3669	0.006
S4	2.4559	0.0001
S5	2.4892	0
S6	2.511	0
S7	2.7091	0.0005
S8	2.756	0.0002
S9	2.7649	0.0001
S10	2.8125	0.0004
S11	2.9142	0.0028
S12	2.9642	0.0013
S13	2.9959	0
S14	3.0311	0.0005
S15	3.1051	1.702
S16	3.1151	1.6469
S17	3.1774	0.0069
S18	3.1944	0.0007
S19	3.2532	0
S20	3.3328	0.029
S21	3.3934	0
S22	3.4635	0
S23	3.4659	0.0094
S24	3.5419	0.0002
S25	3.5893	0.0008
S26	3.6037	0
S27	3.6586	0
S28	3.7422	0.0205
S29	3.7475	0.0057
S30	3.7532	0.0144
S31	3.7707	0.0078
S32	3.7897	0.0076
S33	3.7946	0.0039
S34	3.8479	0.0001
S35	3.8688	0
S36	3.8849	0.0185
S37	3.9149	0.0018
S38	4.0001	0.0947
S39	4.0446	0.026
S40	4.0577	0.0028
S41	4.0846	0.0036
S42	4.0878	0.0395
S43	4.0908	0.0452
S44	4.1333	0.0014
S45	4.1354	0.0249
S46	4.1489	0.0144
S47	4.1821	0.0004
S48	4.2173	0.0955
S49	4.2381	0.1976
S50	4.2423	0.2345
