State	VEE/eV	Osc. (f)
S1	2.161 0.0124
S2	2.1717	0.0144
S3	3.1073	1.6196
S4	3.1148	1.6494
S5	3.7779	0.0058
S6	3.7877	0.0036
S7	4.0846	0.0003
S8	4.1214	0.0008
S9	4.2398	0.162
S10	4.2686	0.1149
S11	4.3735	0.002
S12	4.4354	0.0128
S13	4.4721	0.0112
S14	4.5093	0.0032
S15	4.5568	0.0145
S16	4.5754	0.0076
S17	4.6953	0.0792
S18	4.7072	0.2096
S19	4.7203	0.0167
S20	4.7365	0.0028
S21	4.7634	0.2436
S22	4.8278	0.0083
S23	4.8394	0.0037
S24	4.8558	0.0033
S25	4.8724	0.0082
S26	4.9233	0.0191
S27	4.941 0.023
S28	4.9475	0.0019
S29	4.9908	0.0211
S30	5.0113	0.0275
S31	5.0218	0.0507
S32	5.0283	0.0042
S33	5.0462	0.0005
S34	5.0568	0.0014
S35	5.0678	0.0372
S36	5.0963	0.0047
S37	5.1053	0.0086
S38	5.1597	0.0001
S39	5.2041	0.0042
S40	5.233 0.0004
S41	5.2341	0.0019
S42	5.2626	0.0242
S43	5.2752	0.0858
S44	5.283 0.1119
S45	5.2986	0.3825
S46	5.3153	0.0049
S47	5.32 0.0128
S48	5.3308	0.0106
S49	5.3609	0.0068
S50	5.3638	0.0161
